Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1001,S2,SKU-1,Skincare,76,371.63,01/01/2025 00:00,17,12,Pending,2.46,London,3690.62,28243.88,29
1002,S5,SKU-2,Cosmetics,16,211.81,02/01/2025 00:00,16,19,Pass,1.12,Nottingham,1898.24,3388.96,35
1003,S4,SKU-3,Haircare,90,123.43,03/01/2025 00:00,18,17,Fail,5.28,London,3369.52,11108.7,35
1004,S3,SKU-4,Haircare,90,17.64,04/01/2025 00:00,16,12,Pass,4.49,London,2384.59,1587.6,28
1005,S1,SKU-5,Skincare,48,351.45,05/01/2025 00:00,12,9,Pass,1.79,Nottingham,3427.35,16869.6,21
1006,S1,SKU-6,Haircare,85,349.36,06/01/2025 00:00,12,17,Fail,3.44,Leeds,1191.58,29695.6,29
1007,S1,SKU-7,Cosmetics,39,97.03,07/01/2025 00:00,24,19,Fail,5.41,Leeds,1229.93,3784.17,43
1008,S5,SKU-8,Skincare,33,264.62,08/01/2025 00:00,17,8,Pass,4.92,London,1289.48,8732.46,25
1009,S4,SKU-9,Cosmetics,94,29.77,09/01/2025 00:00,14,16,Fail,3.5,Nottingham,5669.01,2798.38,30
1010,S4,SKU-10,Cosmetics,23,64.16,10/01/2025 00:00,13,17,Pending,5.02,Leeds,4530.94,1475.68,30
1011,S1,SKU-11,Haircare,10,83.33,11/01/2025 00:00,17,6,Fail,5.45,Nottingham,1393.1,833.3,23
1012,S5,SKU-12,Haircare,69,112.75,12/01/2025 00:00,24,15,Fail,4.22,Nottingham,1535.92,7779.75,39
1013,S5,SKU-13,Haircare,34,378.42,13/01/2025 00:00,15,19,Pending,0.82,Nottingham,4519.56,12866.28,34
1014,S1,SKU-14,Haircare,52,265.2,14/01/2025 00:00,11,7,Pending,2.51,Birmingham,1358.9,13790.4,18
1015,S1,SKU-15,Haircare,95,146.74,15/01/2025 00:00,13,7,Fail,4.69,Nottingham,1790.09,13940.3,20
1016,S1,SKU-16,Skincare,10,280.41,16/01/2025 00:00,21,8,Pending,1.65,Birmingham,5798.41,2804.1,29
1017,S2,SKU-17,Cosmetics,19,347.9,17/01/2025 00:00,20,8,Pending,4.65,London,1904.19,6610.1,28
1018,S3,SKU-18,Cosmetics,58,364.36,18/01/2025 00:00,13,14,Pending,1.1,Leeds,4138.98,21132.88,27
1019,S2,SKU-19,Cosmetics,96,23.12,19/01/2025 00:00,24,15,Pass,0.73,Leeds,5882.47,2219.52,39
1020,S2,SKU-20,Cosmetics,1,150.64,20/01/2025 00:00,15,15,Pass,2.42,Leeds,2558.63,150.64,30
1021,S4,SKU-21,Haircare,69,41.64,21/01/2025 00:00,15,9,Pass,0.68,Leeds,596.34,2873.16,24
1022,S1,SKU-22,Cosmetics,4,128.35,22/01/2025 00:00,10,8,Pass,5.29,Leeds,1842.81,513.4,18
1023,S2,SKU-23,Skincare,16,65.47,23/01/2025 00:00,23,15,Fail,4.63,Leeds,5069.82,1047.52,38
1024,S2,SKU-24,Skincare,24,246.23,24/01/2025 00:00,17,18,Fail,4.5,Leeds,5255.35,5909.52,35
1025,S3,SKU-25,Cosmetics,80,148.28,25/01/2025 00:00,15,14,Pending,3.65,London,4726.86,11862.4,29
1026,S4,SKU-26,Cosmetics,2,88.09,26/01/2025 00:00,12,12,Pass,1.58,Nottingham,1122.1,176.18,24
1027,S1,SKU-27,Skincare,92,101.94,27/01/2025 00:00,23,10,Pending,3.09,Manchester,4875.31,9378.48,33
1028,S3,SKU-28,Skincare,32,137.7,28/01/2025 00:00,18,10,Fail,3.49,Birmingham,5552.73,4406.4,28
1029,S3,SKU-29,Haircare,91,99.67,29/01/2025 00:00,11,12,Fail,3.13,Manchester,3803.35,9069.97,23
1030,S1,SKU-30,Skincare,84,172.89,30/01/2025 00:00,24,11,Pending,1.8,Manchester,5674.81,14522.76,35
1031,S4,SKU-31,Haircare,24,13.44,31/01/2025 00:00,20,19,Fail,3.08,Nottingham,5047.61,322.56,39
1032,S1,SKU-32,Haircare,12,107.17,01/02/2025 00:00,17,14,Pass,2.96,Nottingham,4168.34,1286.04,31
1033,S1,SKU-33,Haircare,50,156.97,02/02/2025 00:00,19,18,Pending,5.48,Nottingham,3674.52,7848.5,37
1034,S5,SKU-34,Haircare,35,229.53,03/02/2025 00:00,12,15,Pass,4.99,Leeds,2417.16,8033.55,27
1035,S5,SKU-35,Haircare,33,103.84,04/02/2025 00:00,22,16,Pass,2.82,London,1376.08,3426.72,38
